text,head,tail,url,date
Elbridge Gerry to George Washington ,Elbridge Gerry,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00815)),1777-09-24
John Hancock to Dorothy Hancock ,John Hancock,Dorothy Hancock,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00837)),1777-10-01
James Lovell to Horatio Gates ,James Lovell,Horatio Gates,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00856)),1777-10-05
James Lovell to William Whipple ,James Lovell,William Whipple,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00876)),NA
Eliphalet Dyer to John Sullivan ,Eliphalet Dyer,John Sullivan,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00895)),1777-10-11
Henry Laurens to John Rutledge ,Henry Laurens,John Rutledge,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008112)),1777-10-16
Henry Laurens to John Rutledge ,Henry Laurens,John Rutledge,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008130)),1777-10-19
Cornelius Harnett to William Wilkinson ,Cornelius Harnett,William Wilkinson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008147)),1777-10-23
Samuel Adams to Arthur Lee ,Samuel Adams,Arthur Lee,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008169)),1777-10-26
Daniel Roberdeau to George Bryan ,Daniel Roberdeau,George Bryan,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008187)),NA
Henry Laurens to John Sullivan ,Henry Laurens,John Sullivan,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008207)),1777-11-04
Henry Laurens to Thomas Mifflin ,Henry Laurens,Thomas Mifflin,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008226)),1777-11-09
Henry Laurens to Israel Putnam ,Henry Laurens,Israel Putnam,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008247)),NA
James Duane to the New York Council of Safety ,James Duane,the New York Council of Safety,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008264)),1777-11-19
Henry Laurens to George Washington ,Henry Laurens,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008282)),1777-11-22
James Lovell to Horatio Gates ,James Lovell,Horatio Gates,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008301)),1777-11-27
Henry Laurens to George Washington ,Henry Laurens,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008320)),NA
Richard Henry Lee to Thomas Webb ,Richard Henry Lee,Thomas Webb,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008343)),1777-12-05
Elbridge Gerry to James Warren ,Elbridge Gerry,James Warren,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008363)),1777-12-12
Henry Laurens to George Washington ,Henry Laurens,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008385)),1777-12-17
Henry Laurens to George Clinton ,Henry Laurens,George Clinton,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008407)),1777-12-23
Henry Laurens to William Heath ,Henry Laurens,William Heath,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008423)),1777-12-27
Henry Laurens to Robert Morris ,Henry Laurens,Robert Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008441)),NA
"Henry Laurens to Jonathan Trumbull, Jr. ",Henry Laurens,"Jonathan Trumbull, Jr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008457)),NA
"Henry Laurens to William Shippen, Jr. ",Henry Laurens,"William Shippen, Jr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008473)),NA
"Eliphalet Dyer to Jonathan Trumbull, Sr. ",Eliphalet Dyer,"Jonathan Trumbull, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008500)),1778-01-14
Elbridge Gerry to Timothy Pickering ,Elbridge Gerry,Timothy Pickering,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008520)),NA
James Lovell to Samuel Adams ,James Lovell,Samuel Adams,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008538)),1778-01-20
Henry Laurens to William Palfrey ,Henry Laurens,William Palfrey,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008557)),1778-01-23
Henry Laurens to George Washington ,Henry Laurens,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008575)),1778-01-27
Robert Morris to John Brown ,Robert Morris,John Brown,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg008599)),NA
Samuel Holten to John Hancock ,Samuel Holten,John Hancock,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg02019)),NA
Samuel Holten to John Avery ,Samuel Holten,John Avery,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg02041)),NA
Theodorick Bland to George Weedon ,Theodorick Bland,George Weedon,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg02067)),1783-03-25
Samuel Holten to John Hancock ,Samuel Holten,John Hancock,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg02093)),1783-04-01
Theodorick Bland to St. George Tucker ,Theodorick Bland,St. George Tucker,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020120)),NA
Oliver Ellsworth to Abigail Ellsworth ,Oliver Ellsworth,Abigail Ellsworth,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020143)),1783-04-16
Daniel Carroll to Daniel of St. Thomas Jenifer ,Daniel Carroll,Daniel of St. Thomas Jenifer,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020170)),1783-04-29
Richard Peters to Baron Steuben ,Richard Peters,Baron Steuben,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020191)),NA
Phillips White to John Langdon ,Phillips White,John Langdon,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020217)),NA
James Wilson to William Bingham ,James Wilson,William Bingham,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020239)),1783-05-27
Eleazer McComb to Nicholas Van Dyke ,Eleazer McComb,Nicholas Van Dyke,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020258)),1783-06-04
Elias Boudinot to Lewis Pintard ,Elias Boudinot,Lewis Pintard,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020280)),1783-06-11
Elias Boudinot to George Washington ,Elias Boudinot,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020307)),1783-06-21
Elias Boudinot to Robert Morris ,Elias Boudinot,Robert Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020330)),1783-06-30
James Wilson to Thomas FitzSimons ,James Wilson,Thomas FitzSimons,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020351)),1783-07-06
Samuel Holten to Winslow Warren ,Samuel Holten,Winslow Warren,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020368)),1783-07-15
Alexander Hamilton to Elizabeth Hamilton ,Alexander Hamilton,Elizabeth Hamilton,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020384)),1783-07-22
Elias Boudinot to John Dickinson ,Elias Boudinot,John Dickinson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020401)),NA
"Elias Boudinot to Joseph Phillips, et al. ",Elias Boudinot,"Joseph Phillips, et al.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020419)),1783-07-30
Hugh Williamson to Alexander Martin ,Hugh Williamson,Alexander Martin,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020442)),1783-08-04
Abiel Foster to Meshech Weare ,Abiel Foster,Meshech Weare,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020458)),NA
Elias Boudinot to Azariah Dunham et al. ,Elias Boudinot,Azariah Dunham et al.,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020478)),NA
Elias Boudinot to George Clinton ,Elias Boudinot,George Clinton,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020494)),1783-08-22
Samuel Holten to James Sullivan ,Samuel Holten,James Sullivan,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020514)),1783-08-29
"James Madison to James Madison, Sr. ",James Madison,"James Madison, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020537)),1783-09-08
Benjamin Hawkins to Henry Knox ,Benjamin Hawkins,Henry Knox,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020559)),NA
James Madison to Thomas Jefferson ,James Madison,Thomas Jefferson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020577)),1783-09-20
David Howell to John Brown ,David Howell,John Brown,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg020599)),NA
Henry Laurens to John Rutledge ,Henry Laurens,John Rutledge,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00914)),1778-02-03
Henry Laurens to William Paterson ,Henry Laurens,William Paterson,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00934)),NA
"Henry Laurens to Josiah Smith, Jr. ",Henry Laurens,"Josiah Smith, Jr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00952)),NA
William Duer to George Washington ,William Duer,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg00977)),NA
